State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,,,,,,
22,065,LA,Madison Parish,"4,223","3,368","5,078",40.8,32.5,49.1,"1,617","1,267","1,967",55.2,43.3,67.1,"1,097",824,"1,370",54.4,40.9,67.9,"26,745","24,101","29,389",,,,,,
21,147,KY,McCreary County,"6,562","5,327","7,797",40.7,33.0,48.4,"2,001","1,576","2,426",52.6,41.4,63.8,"1,294",962,"1,626",47.6,35.4,59.8,"24,406","22,020","26,792",,,,,,
21,159,KY,Martin County,"4,462","3,533","5,391",40.5,32.1,48.9,"1,222",959,"1,485",46.0,36.1,55.9,826,626,"1,026",42.6,32.3,52.9,"26,931","24,449","29,413",,,,,,
35,031,NM,McKinley County,"29,321","26,975","31,667",40.3,37.1,43.5,"10,513","9,205","11,821",47.5,41.6,53.4,"6,967","5,927","8,007",44.4,37.8,51.0,"27,790","25,462","30,118",,,,,,
28,027,MS,Coahoma County,"9,729","8,474","10,984",39.5,34.4,44.6,"3,904","3,327","4,481",55.9,47.6,64.2,"2,604","2,121","3,087",53.7,43.7,63.7,"27,500","25,268","29,732",,,,,,
13,037,GA,Calhoun County,"1,883","1,494","2,272",39.1,31.0,47.2,527,414,640,42.6,33.4,51.8,362,273,451,39.1,29.5,48.7,"30,727","27,712","33,742",,,,,,
47,095,TN,Lake County,"2,032","1,549","2,515",39.0,29.7,48.3,542,418,666,44.9,34.6,55.2,362,267,457,42.0,31.0,53.0,"28,391","25,582","31,200",,,,,,
55,078,WI,Menominee County,"1,652","1,426","1,878",38.8,33.5,44.1,821,701,941,58.5,49.9,67.1,531,433,629,56.0,45.7,66.3,"32,769","29,649","35,889",,,,,,
04,001,AZ,Apache County,"27,489","25,077","29,901",38.7,35.3,42.1,"10,370","9,397","11,343",49.3,44.7,53.9,"7,156","6,399","7,913",46.5,41.6,51.4,"30,252","28,162","32,342",,,,,,
13,259,GA,Stewart County,"1,623","1,253","1,993",38.7,29.9,47.5,377,293,461,44.0,34.1,53.9,263,196,330,44.6,33.3,55.9,"28,304","25,489","31,119",,,,,,
28,103,MS,Noxubee County,"4,213","3,531","4,895",38.6,32.3,44.9,"1,431","1,160","1,702",50.4,40.9,59.9,"1,044",834,"1,254",50.0,39.9,60.1,"26,459","23,782","29,136",,,,,,
13,141,GA,Hancock County,"2,863","2,249","3,477",38.5,30.3,46.7,706,554,858,48.8,38.3,59.3,496,375,617,47.8,36.1,59.5,"26,281","24,166","28,396",,,,,,
28,125,MS,Sharkey County,"1,782","1,385","2,179",38.5,29.9,47.1,681,530,832,57.9,45.1,70.7,473,356,590,57.1,42.9,71.3,"27,380","24,636","30,124",,,,,,
13,165,GA,Jenkins County,"3,080","2,462","3,698",38.3,30.6,46.0,"1,000",791,"1,209",48.9,38.7,59.1,672,509,835,44.3,33.5,55.1,"28,445","25,562","31,328",,,,,,
01,119,AL,Sumter County,"4,756","3,847","5,665",38.0,30.7,45.3,"1,283","1,003","1,563",48.8,38.1,59.5,889,669,"1,109",44.4,33.4,55.4,"24,504","22,037","26,971",,,,,,
28,133,MS,Sunflower County,"8,964","7,346","10,582",37.8,31.0,44.6,"3,361","2,808","3,914",51.7,43.2,60.2,"2,228","1,746","2,710",47.9,37.5,58.3,"28,562","25,833","31,291",,,,,,
28,011,MS,Bolivar County,"12,180","10,702","13,658",37.7,33.1,42.3,"4,826","4,344","5,308",55.8,50.2,61.4,"3,339","2,933","3,745",54.9,48.2,61.6,"29,622","27,325","31,919",,,,,,
05,123,AR,St. Francis County,"8,623","7,088","10,158",37.3,30.7,43.9,"3,059","2,483","3,635",50.2,40.8,59.6,"2,114","1,679","2,549",48.8,38.8,58.8,"29,011","26,416","31,606",,,,,,
38,085,ND,Sioux County,"1,628","1,329","1,927",37.3,30.5,44.1,700,532,868,43.0,32.7,53.3,461,343,579,41.7,31.0,52.4,"34,491","31,453","37,529",,,,,,
13,059,GA,Clarke County,"40,955","37,964","43,946",37.2,34.5,39.9,"8,020","6,960","9,080",38.4,33.3,43.5,"5,682","4,876","6,488",41.0,35.2,46.8,"32,864","30,596","35,132",,,,,,
01,085,AL,Lowndes County,"3,919","3,390","4,448",37.0,32.0,42.0,"1,324","1,126","1,522",53.1,45.2,61.0,902,738,"1,066",50.6,41.4,59.8,"29,734","26,809","32,659",,,,,,
05,107,AR,Phillips County,"7,380","6,104","8,656",36.6,30.3,42.9,"2,890","2,317","3,463",53.0,42.5,63.5,"1,952","1,494","2,410",50.6,38.7,62.5,"25,894","23,725","28,063",,,,,,
54,047,WV,McDowell County,"7,454","6,230","8,678",36.5,30.5,42.5,"1,960","1,571","2,349",47.7,38.2,57.2,"1,310","1,010","1,610",44.5,34.3,54.7,"25,205","22,824","27,586",,,,,,
01,105,AL,Perry County,"3,360","2,602","4,118",36.4,28.2,44.6,"1,206",935,"1,477",52.6,40.8,64.4,836,622,"1,050",49.4,36.7,62.1,"25,461","22,931","27,991",,,,,,
21,237,KY,Wolfe County,"2,585","2,077","3,093",36.4,29.2,43.6,861,675,"1,047",51.2,40.1,62.3,520,381,659,41.8,30.6,53.0,"25,657","23,145","28,169",,,,,,
29,133,MO,Mississippi County,"4,485","3,790","5,180",36.3,30.7,41.9,"1,614","1,357","1,871",51.6,43.4,59.8,"1,079",879,"1,279",49.9,40.6,59.2,"31,421","28,409","34,433",,,,,,
48,427,TX,Starr County,"22,188","19,003","25,373",36.3,31.1,41.5,"10,516","9,019","12,013",51.2,43.9,58.5,"7,189","6,070","8,308",50.1,42.3,57.9,"25,408","23,203","27,613",,,,,,
28,135,MS,Tallahatchie County,"4,566","3,523","5,609",36.2,27.9,44.5,"1,410","1,103","1,717",45.6,35.7,55.5,997,753,"1,241",44.5,33.6,55.4,"29,780","27,349","32,211",,,,,,
13,261,GA,Sumter County,"10,728","9,468","11,988",36.1,31.9,40.3,"3,997","3,481","4,513",54.0,47.0,61.0,"2,531","2,076","2,986",47.5,39.0,56.0,"32,474","29,272","35,676",,,,,,
21,013,KY,Bell County,"9,608","7,965","11,251",35.7,29.6,41.8,"2,776","2,202","3,350",47.3,37.5,57.1,"1,829","1,373","2,285",43.4,32.6,54.2,"25,761","23,350","28,172",,,,,,
